id,sku,prodcut_name,short_description,price,list_price,is_authentic,is_freeship_xtra,is_hero,discount,discount_rate,rating_average,review_count,favourite_count,inventory_status,sold_count,category_id,category_name,brand_id,brand_name,battery_capacity,brand_country,cpu_speed,sim_slot,product_weight,ram,rom,has_5g,number_options,warranty_time,warranty_type,warranty_place,return_policy
274171148,1748057101215,Điện thoại Oppo A38 (4GB/128GB) - Hàng Chính Hãng,"Vẻ ngoài đơn giản tối ưu trải nghiệmẤn tượng đầu tiên của mình với OPPO A38 chính là ngoại hình nổi bật của nó. Thiết kế của OPPO A38 với hình dáng vuông vức, cùng với hiệu ứng chuyển đổi màu sắc độc...",3490000,3990000,True,False,False,500000,13,5.0,9,0,available,2889.0,1795,Điện thoại Smartphone,25643,OPPO,5000 mAh,Trung Quốc,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,2,190 g, 4 GB, 128 GB,Không,2.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274550926,3502632497929,Điện thoại Realme C60 (4GB/64GB) - Hàng Chính Hãng,"Trải nghiệm xem ấn tượng với 90HzVới màn hình lớn đến 6.74 inch kết hợp cùng tần số quét màn hình 90Hz mượt mà, realme C60 hứa hẹn mang đến trải nghiệm màn hình lớn ấn tượng, hỗ trợ tối đa cho thao t...",2290000,2990000,True,False,False,700000,23,4.8,5,0,available,1510.0,1795,Điện thoại Smartphone,247549,Realme,	5000mah,Trung Quốc,	2 x Cortex A75 1.8 GHz + 6 x Cortex A55 1.8 GHz,NULL,	186 g,4GB,64GB,Không,2.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
270975124,7692669431564,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng ,"OPPO A58 - chiếc điện thoại kế nhiệm nhà OPPO dự kiến sẽ có những thiết kế nổi bật ngoài sự mong đợi. Điện thoại sở hữu cấu hình ấn tượng với chip Dimensity 700 và khả năng đa nhiệm của RAM 8G, bộ nhớ...",4090000,4990000,True,False,False,900000,18,5.0,70,0,available,8830.0,1795,Điện thoại Smartphone,25643,OPPO,5000 mAh,NULL,2.0 GHz,2 sim,192 g,6 GB,128 GB,Không,2.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
276109904,8692128795448,Apple iPhone 16 Pro Max,...,40990000,40990000,True,True,False,0,0,5.0,37,0,available,314.0,1795,Điện thoại Smartphone,17827,Apple,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Có,1.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
184059211,3643515408223,Apple iPhone 13,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,13090000,24990000,True,False,False,11900000,48,5.0,1994,0,available,7672.0,1795,Điện thoại Smartphone,17827,Apple,3240 mAh,Mỹ,3.22 GHz,NULL,173 g,4 GB,128GB,Có,5.0,12 Tháng,Hóa đơn,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
273951550,6075632127726,Điện Thoại Samsung Galaxy A15 LTE (8GB/128GB)- Đã Kích Hoạt Bảo Hành Điện tử - Hàng Chính Hãng,"Thiết kế và Màn hìnhĐiện Thoại Samsung Galazy A15 LTE (8GB/128GB) thiết kế viền nổi độc đáo Key Island, mang lại trải nghiệm cầm nắm khác biệt, chắc chắn và dễ dàng.Màn hình Super AMOLED 90Hz cho t...",3950000,4990000,True,False,False,1040000,21,5.0,77,0,available,445.0,1795,Điện thoại Smartphone,18802,Samsung,5000 mAh,Hàn Quốc, 2 GHz,2,200g,8GB,128GB,Có,3.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
273258825,9616299554457,Điện thoại Samsung Galaxy A05s (4GB/128GB) - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,  ...,2990000,3950000,True,False,False,960000,24,4.8,86,0,available,439.0,1795,Điện thoại Smartphone,18802,Samsung,	5000 mAh,Hàn Quốc,4 nhân 2.4 GHz &amp; 4 nhân 1.9 GHz,2,194 g,4GB,128GB,Không,3.0,12 Tháng,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
276110349,1869189483085,Apple iPhone 16,...,21990000,22990000,True,True,False,1000000,4,5.0,13,0,available,128.0,1795,Điện thoại Smartphone,17827,Apple,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Có,10.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
271973414,7601310945460,Apple iPhone 15 Pro Max,"Nội dung quảng cáoGiờ đây với thiết kế titan nhẹ và bền chắc, cùng chip A17 Pro cho khả năng đa nhiệm khủng. Bắt trọn những khoảnh khắc đặc biệt khi đang di chuyển với hệ thống camera chuyên nghiệp l...",28990000,33490000,True,False,False,4500000,13,5.0,246,0,available,3470.0,1795,Điện thoại Smartphone,17827,Apple,4422 mAh,Mỹ,3.78 GHz,NULL,221 g,8 GB,1 TB,Có,3.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
276110023,3053239573653,Apple iPhone 16 Pro,...,28790000,28990000,True,True,False,200000,1,5.0,13,0,available,114.0,1795,Điện thoại Smartphone,17827,Apple,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Có,5.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
276110276,1108005232466,Apple iPhone 16 Plus,...,25990000,25990000,True,True,False,0,0,5.0,3,0,available,43.0,1795,Điện thoại Smartphone,17827,Apple,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Có,5.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
184036446,9320936798992,Apple iPhone 11,"Nội dung về tính năngQuay video 4K, chụp ảnh chân dung tuyệt đẹp và chụp phong cảnh rộng với hệ thống camera kép hoàn toàn mới. Chụp ảnh tối ưu trong điều kiện ánh sáng yếu với chế độ Ban Đêm. Xem ản...",9890000,15999000,True,False,False,6109000,38,4.8,3079,0,available,14462.0,1795,Điện thoại Smartphone,17827,Apple,3110 mAh,Mỹ,2 nhân 2.65 GHz & 4 nhân 1.8 GHz,NULL,194 g,4 GB,128GB,Có,1.0,12 Tháng,Hóa đơn,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
275913708,5862587157601,Điện thoại Itel it8010 4G - Hàng Chính Hãng,Được hoàn thiện từ chất liệu nhựa cứng cứng cáp nên khi cầm vào khá chắc chắn. Các góc cạnh của máy được bo cong mềm mại mang đến cảm giác sử dụng thoải mái. Mặt sau không được trang bị camera nhưng h...,360000,390000,True,False,True,30000,8,5.0,7,0,available,409.0,1796,Điện thoại phổ thông,111684,Itel,NULL,Trung Quốc,NULL,NULL,NULL,NULL,NULL,Không,3.0,12 Tháng,Hóa đơn,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
270977740,8148891524434,Điện thoại Samsung Galaxy A54 5G - Đã kích hoạt bảo hành điện tử - Hàng chính hãng,...,5990000,10490000,True,False,False,4500000,43,5.0,39,0,available,157.0,1795,Điện thoại Smartphone,18802,Samsung,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,1.0,12 Tháng,Hóa đơn,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274101262,6477332696485,Máy Tính Bảng Samsung Galaxy Tab A9 Plus Wifi 4GB/64GB - Hàng Chính Hãng,"Samsung Galaxy Tab A9 Plus – Hiệu suất vượt trộiNằm trong phân khúc tầm trung, Galaxy Tab A9 Plus không đi kèm trái tim khủng như Galaxy S9 nhưng vẫn đem đến hiệu năng vượt trội so với đối thủ cùng p...",3890000,5990000,True,False,False,2100000,35,4.8,54,0,available,224.0,1794,Máy tính bảng,18802,Samsung, 7040 mAh,Hàn Quốc, 2.2 GHz,NULL,NULL,4GB,64GB,Không,3.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
